===============================================================================
Id,orcl-1995-2014,len,datetime,open,high,low,close,volume,openinterest,adjclose,Strategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,orcl-1995-2014,1,1999-01-04 23:59:59.999989,6.47,6.59,6.28,6.37,48452481.0,0.0,6.374679,Strategy,1,729758.9999999999,Broker,1,1000.0,1000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,orcl-1995-2014,2,1999-01-05 23:59:59.999989,6.26,6.58,6.16,6.57,75328992.0,0.0,6.569256,Strategy,2,729759.9999999999,Broker,2,1000.0,1000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,orcl-1995-2014,3,1999-01-06 23:59:59.999989,6.62,6.97,6.57,6.88,84605320.0,0.0,6.875018,Strategy,3,729760.9999999999,Broker,3,1000.0,1000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,orcl-1995-2014,4,1999-01-07 23:59:59.999989,6.71,6.99,6.71,6.76,54557102.0,0.0,6.763831,Strategy,4,729761.9999999999,Broker,4,1000.0,1000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,orcl-1995-2014,5,1999-01-08 23:59:59.999989,6.8,6.88,6.67,6.86,57240867.0,0.0,6.856488,Strategy,5,729762.9999999999,Broker,5,1000.0,1000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,orcl-1995-2014,6,1999-01-11 23:59:59.999989,7.04,7.13,6.93,7.0,62539648.0,0.0,6.995469,Strategy,6,729765.9999999999,Broker,6,1000.0,1000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,orcl-1995-2014,7,1999-01-12 23:59:59.999989,7.1,7.12,6.69,6.81,49089245.0,0.0,6.810159,Strategy,7,729766.9999999999,Broker,7,1000.0,1000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,orcl-1995-2014,8,1999-01-13 23:59:59.999989,6.66,6.93,6.47,6.78,71786746.0,0.0,6.782362,Strategy,8,729767.9999999999,Broker,8,1000.0,1000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,orcl-1995-2014,9,1999-01-14 23:59:59.999989,6.84,6.84,6.49,6.62,67101351.0,0.0,6.615584,Strategy,9,729768.9999999999,Broker,9,1000.0,1000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,orcl-1995-2014,10,1999-01-15 23:59:59.999989,6.71,7.01,6.61,6.99,77996144.0,0.0,6.986204,Strategy,10,729769.9999999999,Broker,10,1000.0,1000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
