===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,1999-01-04 00:00:00,123.375,125.21875,121.71875,123.03125,9450400.0,,Strategy,1,729758.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,1999-01-05 00:00:00,122.9375,124.875,122.9375,124.4375,8031000.0,,Strategy,2,729759.0,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,1999-01-06 00:00:00,125.8125,127.75,125.75,127.4375,7737700.0,,Strategy,3,729760.0,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,1999-01-07 00:00:00,126.375,127.21875,125.78125,126.8125,5504900.0,,Strategy,4,729761.0,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,1999-01-08 00:00:00,128.1875,128.5,125.96875,127.75,6224400.0,,Strategy,5,729762.0,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,1999-01-11 00:00:00,127.6875,127.6875,125.21875,126.53125,7578300.0,,Strategy,6,729765.0,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,1999-01-12 00:00:00,126.21875,126.21875,123.75,124.25,7768800.0,,Strategy,7,729766.0,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,1999-01-13 00:00:00,120.40625,125.125,120.375,123.375,10810600.0,,Strategy,8,729767.0,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,1999-01-14 00:00:00,123.625,123.90625,120.90625,121.21875,11400700.0,,Strategy,9,729768.0,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,1999-01-15 00:00:00,122.375,124.78125,122.0625,124.375,7817700.0,,Strategy,10,729769.0,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,1999-01-19 00:00:00,125.296875,125.625,123.5,125.1875,6535100.0,,Strategy,11,729773.0,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,1999-01-20 00:00:00,126.09375,127.9375,125.03125,126.1875,6534400.0,,Strategy,12,729774.0,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,1999-01-21 00:00:00,125.578125,125.84375,122.59375,122.84375,6937500.0,,Strategy,13,729775.0,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,1999-01-22 00:00:00,122.125,123.84375,121.78125,122.5625,7522300.0,,Strategy,14,729776.0,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,1999-01-25 00:00:00,123.28125,124.0,121.90625,123.8125,5700300.0,,Strategy,15,729779.0,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,1999-01-26 00:00:00,124.125,126.0625,123.625,126.0625,6047000.0,,Strategy,16,729780.0,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,1999-01-27 00:00:00,126.375,126.625,124.15625,124.59375,7399400.0,,Strategy,17,729781.0,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,1999-01-28 00:00:00,125.25,126.96875,125.1875,126.6875,5961700.0,,Strategy,18,729782.0,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,1999-01-29 00:00:00,127.34375,128.296875,125.40625,127.65625,6456800.0,,Strategy,19,729783.0,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,1999-02-01 00:00:00,128.6875,128.6875,126.90625,126.90625,9426800.0,,Strategy,20,729786.0,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,1999-02-02 00:00:00,127.078125,127.21875,124.765625,126.125,9194500.0,,Strategy,21,729787.0,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,1999-02-03 00:00:00,125.6875,127.9375,125.65625,127.40625,10290700.0,,Strategy,22,729788.0,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,1999-02-04 00:00:00,127.375,127.5,124.78125,125.5,7761100.0,,Strategy,23,729789.0,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,1999-02-05 00:00:00,125.65625,125.65625,123.21875,124.0625,7516100.0,,Strategy,24,729790.0,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,1999-02-08 00:00:00,125.09375,125.09375,123.34375,124.3125,8528400.0,,Strategy,25,729793.0,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,1999-02-09 00:00:00,124.375,124.5,121.515625,121.53125,8985700.0,,Strategy,26,729794.0,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,1999-02-10 00:00:00,122.125,123.0,121.328125,122.3125,6936700.0,,Strategy,27,729795.0,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,1999-02-11 00:00:00,123.0625,126.09375,122.5,125.125,9181800.0,,Strategy,28,729796.0,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,1999-02-12 00:00:00,124.8125,125.5,122.625,123.625,10676600.0,,Strategy,29,729797.0,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,1999-02-16 00:00:00,124.75,125.625,122.875,122.875,6915500.0,,Strategy,30,729801.0,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,1999-02-17 00:00:00,123.1875,125.359375,122.25,122.75,7858100.0,,Strategy,31,729802.0,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,1999-02-18 00:00:00,123.1875,124.375,122.21875,123.71875,9048900.0,,Strategy,32,729803.0,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,1999-02-19 00:00:00,124.0,125.75,123.375,124.25,5312200.0,,Strategy,33,729804.0,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,1999-02-22 00:00:00,124.4375,127.71875,124.28125,127.5625,10695800.0,,Strategy,34,729807.0,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,1999-02-23 00:00:00,127.59375,128.5,126.59375,127.5,7770700.0,,Strategy,35,729808.0,Broker,35,8724.0625,9999.0625,BuySell,35,124.69484375,,Trades - Net Profit/Loss,35,,
